ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,367,294.91515151515154,254.7030303030303,0,367,0.0,0.0,,0.0,367,1,,0.0,0,0.0,0.0
2,367,1110.1593406593406,253.35164835164835,0,367,2.453032368980082,2.453032368980082,,2.453032368980082,370,2,1.0,1.0,370,-1.4928332537028837,-1.9464882943143775
3,367,1291.1653116531163,253.27642276422765,0,367,5.20499016293826,4.102167799763806,,7.519676546319639,371,3,0.6921827196790455,2.0,365,-2.415424890792792,-3.3156452244408854
4,367,1805.9385474860333,227.27374301675977,0,367,54.00152198090751,29.305662747439342,,57.20144477952262,380,4,0.9440587067171312,3.0,374,26.469227419698427,-12.577832439293305
5,367,1820.0849598163031,205.5637198622273,0,367,3.7620586597809167,3.066505164941183,,32.770311092033275,313,5,0.1148008222813454,4.0,344,-2.021691559843702,2.3056923392915394
6,367,1270.4424242424243,217.759595959596,0,367,11.213409877244978,14.503519088453032,,33.05886173363042,349,6,0.33919528045449,5.0,371,-1.107359307359275,-14.461183261183235
7,367,1216.1586826347304,216.51497005988023,0,367,22.58787090286305,7.892111884424597,,26.914398298742967,1263,6,0.8392485929703289,6.0,333,5.969027462316717,5.162958565627349
8,367,44.46739130434783,246.3804347826087,0,367,9.50585345544097,2.783613618636954,,33.444964408199475,355,8,0.2842237575564734,7.0,407,2.467391304347828,1.2885980479148031
9,367,1107.3682795698924,242.74193548387095,0,367,13.266873722403352,4.688125119904902,,49.14060659647095,370,9,0.2699778175582415,8.0,357,4.389810670370935,-1.645624324741476
10,367,693.4632768361582,236.6892655367232,0,367,0.0,0.0,,0.0,1893,1,,0.0,0,0.0,0.0
11,367,1179.4176706827309,234.8714859437751,0,367,46.64853704169569,17.72931366623178,,92.10127707053188,294,11,0.5064917504452394,10.0,342,-14.876750804872472,9.64421321650238
12,367,404.3529411764706,225.3562091503268,0,367,4.438560932609126,4.438560932609126,,4.438560932609126,1970,2,1.0,11.0,368,-0.4754611903932755,-4.413021618903969
13,367,1243.3932980599648,228.52910052910053,0,367,47.86043805270381,9.607355114402532,,92.08523208893332,1263,12,0.519740646431575,12.0,368,9.342593834612671,-2.2399135554065026
14,367,385.60087719298247,214.62280701754383,0,367,37.77208571929612,2.677378451539446,,64.63648123951228,352,14,0.5843771968237349,13.0,340,2.275162907268168,1.4113784461152932
15,367,156.6231884057971,216.4782608695652,0,367,27.93720326280177,15.582855119729752,,97.66135507978947,303,15,0.2860620072287245,14.0,448,-0.0383892023453995,-15.582807832724852
16,367,595.972850678733,224.2850678733032,0,367,9.811075713722104,8.398658083670794,,61.09528217352501,1750,9,0.1605864702589692,15.0,408,-2.9632395468308914,-7.858541149253227
17,367,1693.4602150537637,226.01720430107528,0,367,32.248830897210595,22.407041308367987,,164.13366796107763,323,17,0.1964790728058184,16.0,366,22.39082224087633,0.8523963704680853
18,367,1042.1780821917807,218.56849315068493,0,367,9.873223100838077,3.874624502375623,,12.432337305636851,2243,4,0.7941566302549989,17.0,365,-1.0433463796478009,-3.731506849315082
19,367,410.4757281553398,216.495145631068,0,367,0.0,0.0,1.0,0.0,2560,1,,0.0,0,0.0,0.0
20,367,1253.937875751503,220.124248496994,0,367,52.04670261223369,1.2906710483535502,,84.78896557273434,1694,14,0.613838159961824,19.0,383,-1.2049813913540677,0.4624409168190766
21,367,1776.651567944251,189.77700348432052,0,367,32.8731523028868,1.3051307567572985,,174.33553940061893,312,21,0.1885625410395816,20.0,316,0.2796167247388439,-1.2748257839721475
22,367,1612.010775862069,194.9504310344828,0,367,32.49477156626325,19.71909892672176,,102.85225478459743,1749,15,0.3159364044504106,21.0,387,12.486023386821444,-15.262440252645945
23,367,1662.8226221079692,187.7120822622108,0,367,62.861569815000095,5.991599277051761,,111.8732661723214,1749,16,0.5618998351060273,22.0,340,5.199930815093239,-2.9765720913512155
24,367,1260.4578313253012,197.1295180722892,0,367,5.033512914408122,7.943319514875182,,48.55668432460826,2466,7,0.1036626158565189,23.0,372,6.835189815867125,4.046789480126591
25,367,1699.3825757575758,202.3106060606061,0,367,46.10011220536934,1.8425047909065928,,58.7096087383083,2464,8,0.7852226099965268,24.0,372,0.2360240334378431,-1.8273249738766992
26,367,1351.455357142857,190.5892857142857,0,367,48.18312123838859,6.032192792515362,,137.7304305133769,1966,16,0.3498364236486494,25.0,346,4.081124014022862,4.442046450482053
27,367,1373.21875,184.33482142857144,0,367,36.14706245888348,2.0647696359167367,,142.07722321236665,1966,17,0.2544184186711862,26.0,369,-1.7184316638370092,1.1446686272131783
28,367,1912.164383561644,202.41878669275928,0,367,8.16788849176243,8.16788849176243,,8.16788849176243,3262,2,1.0,27.0,362,-2.986695575046724,7.602239930169361
29,367,1328.449494949495,197.91919191919192,0,367,40.92038682807511,21.61334230033406,,278.6368559871324,334,29,0.1468592038303965,28.0,396,-17.983925416040393,-11.988118785768933
30,367,1191.4,195.1809523809524,0,367,60.02844699029948,5.240504068302595,,130.42306842070187,2237,16,0.4602594289276148,29.0,372,5.214317673378218,0.523234260147035
31,367,1778.3585365853658,192.62682926829268,0,367,33.020311467116635,6.434468778181955,,251.4331228339994,312,31,0.1313284069136636,30.0,350,-3.167406810860712,5.600885872066272
32,367,165.00837988826817,195.30167597765364,0,367,44.64221605483576,5.79067792822236,,260.27339758420425,257,32,0.1715204722003639,31.0,388,-2.3727389928507137,-5.282240106262435
33,367,1882.492307692308,195.3692307692308,0,367,45.68905819922398,7.949187302165687,,140.54187274850185,2240,19,0.3250921401978473,32.0,352,7.156100795756174,3.461184792219285
34,367,1373.5869017632242,199.32997481108316,0,367,89.55428430912649,4.312472542478287,,220.54670483098576,2028,23,0.4060558709220149,33.0,385,4.264174490496998,0.6436111747194957
35,367,1903.048611111111,216.72569444444449,0,367,68.0111577932904,1.0310249385721342,,260.1190510847129,394,35,0.2614616557675401,34.0,391,-0.0239884205047928,-1.030745836585993
36,367,1001.258302583026,191.05535055350555,0,367,9.652153272350844,0.889094040299932,,200.37140605808108,264,36,0.0481713107785099,35.0,326,0.732844334553306,0.5034157266216255
