ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,745,219.38509316770185,603.8260869565217,0,745,0.0,0.0,,0.0,745,1,,0.0,0,0.0,0.0
2,745,1588.22102425876,583.5067385444744,0,745,18.89110675113037,18.89110675113037,,18.89110675113037,716,2,1.0,1.0,716,-13.580852696401507,-13.131426210478708
3,745,1551.3319327731092,556.5672268907563,0,745,4.796986526076347,3.611007944138268,,5.110326284560836,687,3,0.938684979972582,2.0,717,-2.850759534583176,-2.2164269553975373
4,745,1680.6609589041095,537.8715753424658,0,745,8.10318780695365,7.866674056656588,,17.715120961721695,666,4,0.4574164536873769,3.0,723,-6.999652950574955,-3.590183739752206
5,745,588.515,541.72,0,745,7.016077804745241,2.1474603424405085,,16.229549676721923,663,5,0.4323026790329504,4.0,738,0.7220707070706567,-2.022424242424222
6,745,1576.9176470588236,539.8611764705882,0,745,5.367480478091928,5.367480478091928,,5.367480478091928,1552,2,1.0,5.0,734,3.414049936521451,4.141752010156552
7,745,1015.9333333333332,529.1692307692308,0,745,25.47098603748687,4.064905814797427,,49.93123209834451,671,7,0.5101213202053424,6.0,723,0.6373692077727355,-4.014625733011371
8,745,1430.7310195227765,573.945770065076,0,745,1.939882136885416,4.7701340947008815,,7.713809550432391,1617,3,0.2514817256250094,7.0,800,0.3392997775536059,-4.758051590975015
9,745,589.0265060240964,560.277108433735,0,745,15.998057591758412,23.64983260205223,,83.23999712097779,692,9,0.1921919527280551,8.0,718,-19.052079437593196,14.01188250053258
10,745,1061.3001876172607,522.4727954971858,0,745,38.35750175779896,3.254969065905304,,71.65516405686955,671,10,0.5353068723331134,9.0,705,1.984859150107468,-2.57975924733978
11,745,619.1521739130435,539.2701863354038,0,745,28.36122254797788,4.228309705210861,,72.75808804120514,692,11,0.389801646958013,10.0,760,3.8245877061469855,-1.8030895266651896
12,745,2012.462686567164,545.4507462686568,0,745,8.810760486002286,8.810760486002286,2.0,8.810760486002286,1986,2,1.0,11.0,767,-5.967333716811481,-6.482316611667784
13,745,639.828125,547.236328125,0,745,30.95973474087804,10.054356133213108,,62.53706649388273,664,13,0.4950621523621749,12.0,759,-6.125549121405697,-7.972937050718883
14,745,1479.4700460829492,504.73732718894007,0,745,48.2500133557294,5.4779762774155305,,59.06206944614306,1708,8,0.81693739837083,13.0,678,3.9637960829493295,3.78107718894006
15,745,1279.076923076923,507.1263736263736,0,745,31.484184414001007,19.235019224163203,,39.903506293754255,1767,8,0.7890079679270929,14.0,777,-5.053591628959339,-18.55928813833225
16,745,1467.8208556149732,509.331550802139,0,745,57.71223671492668,8.06580971256494,,71.82485329007218,1708,10,0.8035134646478118,15.0,742,-7.857212795489659,1.8224964761832891
17,745,1212.4150943396226,516.3899371069182,0,745,37.88193675835264,10.39709892432544,,107.35662109113592,1285,16,0.3528607399649282,16.0,733,-9.87766881827224,3.245200264812865
18,745,1071.719298245614,507.436403508772,0,745,12.823572658465435,9.629883682261283,,58.78339016355584,2045,7,0.2181495933253559,17.0,744,-6.112002567394029,-7.441645271715856
19,745,725.8595041322315,481.5702479338843,0,745,5.431203309982,22.949120647584973,,129.5493668980692,592,19,0.0419238120573397,18.0,685,4.9906315832118935,22.39990479662936
20,745,1698.4831460674156,506.6685393258427,0,745,0.0,0.0,,0.0,2663,1,,0.0,0,0.0,0.0
21,745,1065.2815884476531,474.7797833935018,0,745,2.5068694626039814,2.5068694626039814,,2.5068694626039814,2660,2,1.0,20.0,702,-0.2638660978011558,-2.492943879225436
22,745,2016.883561643836,471.5993150684931,0,745,0.0,0.0,,0.0,2845,1,,0.0,0,0.0,0.0
23,745,709.4287690179806,453.1811894882434,0,745,39.69908254230815,5.0914191447366495,,113.46931430742345,1550,19,0.349866241676151,22.0,712,4.392569922957932,-2.57446662035386
24,745,877.7867647058823,453.9889705882353,0,745,29.55008410318357,5.327461144290207,11.0,58.11080493516501,2182,11,0.5085127307417784,23.0,734,1.1443805999221013,5.203098623555377
25,745,1328.217252396166,464.1613418530352,0,745,47.85639478847877,8.440192308454629,,88.28761434107538,2327,10,0.5420510583013207,24.0,750,-7.864864392155141,3.0628017070497435
26,745,1340.0443298969071,478.0257731958763,0,745,48.4585039966063,8.69167639474607,,98.9756472016782,2327,11,0.4896002740741326,25.0,765,-7.324370368344944,4.679619349722429
27,745,1701.7758369723435,462.3682678311499,0,745,44.42247030387755,3.998256080731004,,57.52522687880212,2663,8,0.7722259035582718,26.0,728,3.3647940275582187,2.159678874094709
28,745,1142.2613636363635,447.89772727272725,0,745,0.0,0.0,,0.0,3408,1,,0.0,0,0.0,0.0
29,745,969.9760273972604,434.9280821917809,0,745,3.9159751114859818,7.584807296287926,,23.32566528298609,3105,5,0.1678826761842596,28.0,719,-5.534725290911752,5.18614670790987
30,745,752.7589199614272,440.8196721311475,0,745,23.540843301346943,2.9498009604625626,,212.4841353353224,572,30,0.1107887102451061,29.0,749,-0.2900442570285122,-2.935506776573789
31,745,1699.4615384615386,423.4139194139194,0,745,42.22286833895766,13.072545998017407,,69.73299838981887,3104,7,0.605493372060741,30.0,740,12.521883289124844,-3.754184034356456
32,745,27.848275862068967,431.77241379310345,0,745,0.0,0.0,,0.0,3804,1,,0.0,0,0.0,0.0
33,745,1716.265306122449,411.98979591836735,0,745,80.33779486810305,6.578775877683645,,203.8879721040816,1702,27,0.3940291035269695,32.0,715,-6.30822328931572,1.867246898759504
34,745,702.1176470588235,413.32941176470587,0,745,38.609857843866095,1.026272524292459,,246.4779179246726,571,34,0.1566463161039272,33.0,751,0.3735294117647072,0.9558823529411598
35,745,131.34246575342465,459.4109589041096,0,745,43.407539053793634,22.86953073826305,,270.2988281503565,545,35,0.1605909257943499,34.0,759,4.966626827250153,22.323710581961905
36,745,1717.1088260497002,418.3753213367609,0,745,83.92419885645582,8.335379761589925,,221.6664785215595,1702,30,0.3786057297260364,35.0,688,-1.097423950299799,8.262821336760908
37,745,718.8987654320988,430.0271604938272,0,745,6.126009142397581,5.34344107814257,,50.63501296236512,3592,8,0.1209836590137892,36.0,772,5.2668635916080575,0.9013936226615442
38,745,367.5992063492063,429.44444444444446,0,745,4.653070099457607,4.547077712833408,,23.608608199902164,3886,6,0.1970920970884209,37.0,736,-2.116769982154608,4.024326101249187
39,745,2016.6708860759493,431.43037974683546,0,745,0.0,0.0,1.0,0.0,4442,1,,0.0,0,0.0,0.0
40,745,306.0756972111554,441.25099601593627,0,745,43.15797573852642,6.782760922872967,,74.6093151994816,3400,13,0.578452913327722,39.0,769,-6.596543591520174,-1.5784354221908077
41,745,589.3313609467456,444.0828402366864,0,745,66.0627609821382,3.72361190969005,30.0,193.5685618736588,2044,30,0.3412886903879413,40.0,755,1.133830082548002,-3.546789392943253
42,745,104.281512605042,425.6302521008403,0,745,55.68481365249006,6.893463119816259,,320.23034675277785,483,42,0.1738898708918411,41.0,712,-2.718487394957989,6.334797555385762
