ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,564,302.19251336898395,437.6096256684492,0,564,0.0,0.0,,0.0,564,1,,0.0,0,0.0,0.0
2,564,190.781746031746,433.98015873015873,0,564,10.37274858096079,10.37274858096079,,10.37274858096079,561,2,1.0,1.0,561,5.889128582081582,-8.53885692979651
3,564,1111.7595307917888,400.1935483870968,0,564,4.456774264596475,5.3906961721590605,,7.174761149044146,519,3,0.6211738860728802,2.0,522,-2.99930177349529,4.479262672811046
4,564,1227.4302325581396,388.90697674418607,0,564,0.0,0.0,,0.0,1465,1,,0.0,0,0.0,0.0
5,564,1723.3617647058825,387.6735294117647,0,564,28.824863485539147,20.723799700141598,,55.78536659901816,477,5,0.5167101202853164,4.0,525,-5.239773755656188,20.050452488687768
6,564,906.7464454976304,387.7654028436019,0,564,22.808457994789784,6.151464744431971,,45.11447347839978,484,6,0.5055685290378081,5.0,566,5.273511024695836,3.16711224531133
7,564,71.8,373.82758620689657,0,564,17.555026005850532,14.606616421709404,,63.57377818239416,473,7,0.2761362704523379,6.0,531,12.030188679245278,8.284189980481472
8,564,693.3738872403561,409.2640949554896,0,564,8.416324163384928,3.332018653733741,,33.398380777146954,525,8,0.2519979701873406,7.0,606,-1.8889332724644416,2.744864186258837
9,564,1796.8142857142857,395.75714285714287,0,564,30.545450188593783,22.195785697386167,,54.18404085624606,1544,5,0.5637351830151047,8.0,550,-22.095658000536105,-2.1058965424819007
10,564,2001.908163265306,383.95238095238096,0,564,26.75015529023342,30.552819657397976,,94.97751432734816,527,10,0.28164724545261,9.0,542,26.829763265305928,14.61638095238095
11,564,70.9812734082397,378.2434456928839,0,564,19.70593487195677,0.879411946276767,,74.21263232577512,473,11,0.2655334308241835,10.0,555,-0.8734274464611502,0.1024200518582461
12,564,1386.7218543046358,392.58940397351,0,564,4.506196812963808,4.506196812963808,2.0,4.506196812963808,1976,2,1.0,11.0,582,-4.236479028697431,-1.5355960264900546
13,564,670.86,397.82,0,564,3.8735735824075737,17.406321394533567,,82.92123949524162,1541,9,0.0467138890589045,12.0,592,12.151428571428596,-12.46285714285716
14,564,57.691335740072205,346.06317689530687,0,564,40.72287842813064,5.380613324596324,,85.6483042028295,483,14,0.4754662547864586,13.0,498,-5.074168135896784,1.789921081353384
15,564,1797.7232142857142,373.6428571428572,0,564,27.26952473061,7.909356416318434,,39.096959160102784,1828,7,0.6974845439754224,14.0,596,7.694004663720989,-1.833087874324974
16,564,1996.267716535433,388.5889763779528,0,564,0.0,0.0,,0.0,2322,1,,0.0,0,0.0,0.0
17,564,1811.995744680851,382.1872340425532,0,564,42.68039925527504,2.976121213737235,9.0,55.7398786347165,1828,9,0.7657067130514414,16.0,563,2.650917094644001,1.352751283932491
