ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1056,1689.3838383838383,933.3299663299664,0,1056,0.0,0.0,,0.0,1056,1,,0.0,0,0.0,0.0
2,1056,1660.455782312925,892.1689342403628,0,1056,4.401306328861241,4.401306328861241,,4.401306328861241,1018,2,1.0,1.0,1018,2.524599517226079,-3.605259308024301
3,1056,605.3574007220217,842.3862815884477,0,1056,8.144575134188441,6.853690743154244,,13.26703988066036,984,3,0.6138954286299356,2.0,1018,-5.17453645075318,4.494134991589021
4,1056,639.2636103151863,805.730659025788,0,1056,8.583687324434802,5.072624804318298,,14.981810729134583,936,4,0.5729405797219435,3.0,1010,-4.618195793711493,2.0985209115781345
5,1056,1116.2937853107344,793.1949152542373,0,1056,8.331964779383325,6.050921899796703,,20.90429321929714,930,5,0.3985767273725348,4.0,1046,4.946313858858275,-3.4853457571819035
6,1056,1261.0095541401274,800.9920382165606,0,1056,15.550301045414072,3.4260677755000177,,23.513313193657037,941,6,0.6613402763507157,5.0,1062,-2.489375196061019,2.353922584868883
7,1056,885.7521739130435,797.2826086956521,0,1056,9.597624325964317,1.3274067108523702,,24.8442622404843,960,7,0.3863115045664251,6.0,1054,0.5705701394585958,-1.1985233798195625
8,1056,678.3523131672598,843.1992882562278,0,1056,41.2248325268827,4.019610365809726,,60.3039176659576,965,8,0.6836178165942723,7.0,1100,2.094035021564423,3.4310763356979805
9,1056,1289.1435643564355,819.1039603960396,0,1056,11.534840932080575,3.8422127887302726,,24.68267589390764,1403,7,0.4673253816425832,8.0,1030,3.657385494647088,-1.177340416968491
10,1056,1994.438756855576,818.2833638025594,0,1056,18.489391031410904,2.5443963899876345,,43.8890829627744,942,10,0.4212754011537022,9.0,1043,0.8281535648993668,-2.4058500914077285
11,1056,261.2019417475728,817.4679611650486,0,1056,9.47547872834028,11.707190484230564,,75.0104997047381,976,11,0.1263220317907275,10.0,1063,11.386815697152628,2.720062005384648
12,1056,673.0130861504907,833.834242093784,0,1056,33.28473867789656,3.4173362523514177,,77.64136011171699,965,12,0.4286985522922787,11.0,1066,-2.123734775062644,2.677300443884633
13,1056,1225.5119047619048,838.7261904761905,0,1056,0.0,0.0,,0.0,2138,1,,0.0,0,0.0,0.0
14,1056,1869.684039087948,785.7198697068404,0,1056,24.66313799423091,6.182451265502709,,149.77491717084283,909,14,0.1646680129096553,13.0,998,-4.785369136726104,3.914453458094158
15,1056,1974.669577874818,765.4148471615721,0,1056,10.131562964936109,4.024649133954949,,63.35462314625482,922,15,0.1599182894916332,14.0,1054,-1.6665743450550965,-3.663376939907834
16,1056,1873.0151515151515,792.4621212121212,0,1056,31.3031983706818,2.8192971936506708,16.0,159.469630353349,909,16,0.1962956727329267,15.0,1071,2.816994833123772,-0.1139156542382124
17,1056,1190.110655737705,767.4877049180328,0,1056,0.2876747175487521,12.942183239985244,,37.1935284650728,2135,5,0.0077345368783415,16.0,1034,12.763623774234702,-2.1424320682685902
18,1056,997.983606557377,736.1639344262295,0,1056,68.04943441537033,2.849789310431801,,128.6909099091313,949,18,0.5287819820640017,17.0,1033,0.8367534105238974,-2.724177461882391
19,1056,81.25694444444444,707.5949074074074,0,1056,69.0926181731537,8.012217527960834,,161.67908686467882,793,19,0.4273441884971951,18.0,1017,5.426388888888894,5.894907407407345
20,1056,1820.391061452514,737.6927374301677,0,1056,54.74161770117236,5.292583567948975,,166.98038004340387,875,20,0.3278326333126272,19.0,1087,0.2272472715847016,-5.287702667631834
21,1056,1540.7783018867924,701.9150943396227,0,1056,15.069478784369942,13.468709026478113,,208.65832484218603,864,21,0.0722208366034156,20.0,1031,-2.9359838274933736,-13.14481349447874
22,1056,1394.1439393939395,697.9090909090909,0,1056,28.87558720463301,2.669473840197302,,129.70528454375162,830,22,0.222624600888122,21.0,1048,-1.17711323763956,2.395933014354
23,1056,1122.3621013133209,668.8611632270168,0,1056,29.90492523765287,8.053303075402118,,198.98613351586928,815,23,0.1502864783051223,22.0,1020,1.0805763866346751,-7.980479001722188
24,1056,1012.9136690647482,683.431654676259,0,1056,17.794089932670726,5.789154588838967,,38.13074467431399,2502,7,0.4666599114351249,23.0,1072,-4.079136690647488,4.107913669064715
25,1056,1404.857142857143,682.484593837535,0,1056,38.95409258251269,2.6575658957463943,,144.0039620582616,830,25,0.2705070890115684,24.0,1071,0.6797235023041139,-2.569169603325122
26,1056,2000.3851351351352,709.0202702702703,0,1056,36.56023077766531,0.8688255860030114,,80.9902423511338,2058,15,0.4514152534469295,25.0,1093,0.8687416925122307,0.0120735489588241
27,1056,1974.5702479338845,679.0743801652893,0,1056,70.11197271304951,3.2858147985062494,,124.93015042584392,2120,15,0.5612093835960487,26.0,1022,-1.226243294185906,-3.048426852254579
28,1056,1262.18,642.18,0,1056,27.003627725177992,15.4872611595854,,27.482398855257166,3203,3,0.9825789905531632,27.0,1026,-15.416463022507967,-1.4791639871383495
29,1056,1782.0114942528735,647.735632183908,0,1056,3.7285767472692033,3.7285767472692033,,3.7285767472692033,3418,2,1.0,28.0,1061,2.144827586206929,3.049917898193712
30,1056,1388.5805580558056,645.5490549054905,0,1056,25.61812886835815,7.868878392715116,,233.56896309151,755,30,0.1096812201813013,29.0,1058,3.1518064795129703,-7.21008759135691
31,1056,1369.895683453237,629.6996402877697,0,1056,72.03491518817779,15.026117414470525,,274.25097624374894,682,31,0.2626605606834907,30.0,1024,-13.145412437173718,7.278896647848001
32,1056,1595.4485294117646,640.1544117647059,0,1056,43.9775940544842,4.025454554990844,,329.4221115763668,716,32,0.1334992172930969,31.0,1079,-1.4649321266967943,-3.749434389140333
33,1056,1085.7870528109029,618.1243611584327,0,1056,40.9428657047966,5.378368328381761,,47.91996430858065,3305,7,0.8544010058343319,32.0,1024,2.9164234402735474,-4.518995484923948
34,1056,1456.517857142857,636.9821428571429,0,1056,0.0,0.0,,0.0,3982,1,,0.0,0,0.0,0.0
35,1056,1922.7142857142856,660.8341013824885,0,1056,6.983991452730424,2.7570039197022447,,27.13265445731809,3517,7,0.2574017025763853,34.0,1100,2.35858101629924,-1.4276435839544774
