ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,235,583.1216730038022,155.4296577946768,0,235,0.0,0.0,,0.0,235,1,,0.0,0,0.0,0.0
2,235,1604.2943548387098,155.5040322580645,0,235,3.131429591564322,3.131429591564322,,3.131429591564322,233,2,1.0,1.0,233,-0.469930875575983,-3.095967741935482
3,235,750.6896551724138,157.42758620689656,0,235,2.632161851837515,2.632161851837515,2.0,2.632161851837515,1258,2,1.0,2.0,242,-1.4383448275862063,-2.2044137931034413
4,235,1659.34375,137.609375,0,235,14.70140142820145,10.725196678633838,,34.58945321005626,222,4,0.425025551543766,3.0,199,3.945015822784853,9.973299050632916
5,235,377.1385135135135,147.4391891891892,0,235,30.59862173679513,15.23782618076256,,34.890048633073114,259,5,0.87700140686505,4.0,279,-5.64358765380166,-14.154196024818589
6,235,1818.351145038168,138.64885496183206,0,235,22.40436713260927,12.029184974375424,,41.74338179288348,227,6,0.5367166283693101,5.0,224,3.426070113092919,11.53097284394994
7,235,1606.6810810810812,134.78108108108108,0,235,29.029976048644237,23.041323082560044,,54.79583125078659,223,7,0.5297843902719791,6.0,237,-22.858224220564125,-2.8989920450615045
8,235,414.5327868852459,159.89344262295083,0,235,20.89441225792501,11.443195009429344,,71.20224697591647,263,8,0.2934515853831461,7.0,273,7.208462560921589,-8.887338157829959
9,235,1791.9176136363635,149.37926136363637,0,235,7.754447164643788,2.134499412598569,,64.79394244153787,227,9,0.1196785821705548,8.0,223,-1.2411765337685663,1.7365392464340914
10,235,136.1897810218978,148.32116788321167,0,235,26.44806547985369,8.861589669393338,,71.72225722878073,248,10,0.3687567360783035,9.0,247,3.4109348680516405,-8.178832116788328
11,235,9.3703007518797,138.6184210526316,0,235,40.20564309203721,6.639226513517691,,70.04642942160422,153,11,0.5739856181682359,10.0,202,3.9051844728099327,5.369251617415642
12,235,25.769461077844312,142.44610778443115,0,235,40.70529212437773,4.116139904763034,,83.51676975057997,153,12,0.4873906431719368,11.0,226,1.255614923998159,3.919953938277303
13,235,282.6388888888889,131.66319444444446,0,235,47.20726505407126,5.580533845458823,,102.94751794361468,156,13,0.4585566121169343,12.0,232,-0.0802891933028604,-5.579956240487036
14,235,1883.776,117.552,0,235,35.14249628176532,8.220848295695612,,81.82771334719551,1351,12,0.429469367335923,13.0,191,-4.51158169934638,6.872261437908506
15,235,1625.073033707865,122.75842696629212,0,235,18.014016295351567,7.001605806379682,,108.2481293130749,155,15,0.1664141118157477,14.0,230,-2.233570065719732,6.635785456858173
16,235,662.79203539823,127.00442477876106,0,235,25.53433968839572,9.694880157726276,,100.07219861577993,200,16,0.2551591754912171,15.0,239,-4.211089601769913,8.732549778761069
17,235,236.9194805194805,125.94025974025972,0,235,69.25782437520209,14.929542133168596,,149.8864516561497,280,17,0.4620686100040885,16.0,238,-14.490775890775891,-3.5928599178599256
18,235,21.144,136.592,0,235,35.10726763059506,2.449161684920384,,119.672932207393,153,18,0.2933601356884464,17.0,231,-0.6305901639344285,2.3665901639344327
19,235,212.02961672473867,134.4198606271777,0,235,41.890516999246,8.362070269620824,,143.53384006646354,257,19,0.2918511549600326,18.0,236,3.800258926573548,-7.448640901874285
