ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,503,1143.532088681447,393.8634772462077,0,503,0.0,0.0,,0.0,503,1,,0.0,0,0.0,0.0
2,503,1490.832167832168,378.54545454545456,0,503,2.915804898081478,2.915804898081478,,2.915804898081478,498,2,1.0,1.0,498,0.1024381024381,-2.91400491400492
3,503,1473.7580071174375,360.1387900355872,0,503,14.480009881292156,9.52353666045494,,17.911153404915627,482,3,0.8084353672789263,2.0,470,8.418906771416914,4.451938824514514
4,503,1336.5807228915662,343.48192771084337,0,503,13.329514113096806,4.270248106219944,,15.857467707195124,443,4,0.8405827689025474,3.0,485,1.9750527884734763,3.7860514221835615
5,503,1842.393736017897,343.4742729306488,0,503,6.071792625580982,3.837201647280207,,27.249413311978,450,5,0.2228228753428614,4.0,499,3.748876204812859,-0.818561960316913
6,503,1807.315789473684,351.4548872180451,0,503,18.99311665680456,9.303817767931928,,34.960985839656,453,6,0.5432660493017564,5.0,511,8.969066429286613,-2.4732311751895963
7,503,1056.7014925373137,335.0547263681592,0,503,43.517641921269714,20.509741295478378,,53.53472447912052,1271,6,0.8128862592398763,6.0,473,-18.710788164440828,8.399755607925272
8,503,1777.0359550561798,358.39101123595503,0,503,2.816269078447489,2.816269078447489,,2.816269078447489,1702,2,1.0,7.0,552,-1.2438803347668,-2.5266842372959677
9,503,1853.503787878788,346.74242424242425,0,503,10.243349407272074,6.851564514048291,,55.1600441036164,450,9,0.1857023425875125,8.0,488,6.822371949584522,0.6318047733976755
10,503,1523.5296803652968,350.8493150684931,0,503,6.320501873919994,3.735172223352151,,49.46783647752,468,10,0.1277699273707323,9.0,499,3.5826215417673666,-1.0565672844480218
11,503,1408.0745341614906,344.4347826086956,0,503,54.0562737956446,2.6856138379118324,,117.73717237074922,482,11,0.4591266522472932,10.0,495,-2.078618991662552,1.7005483744613912
12,503,1388.867088607595,348.69620253164555,0,503,17.060395363701197,1.4828135188916676,,108.87879824708192,1270,11,0.1566916207596774,11.0,511,0.844361334867699,1.2189298043728058
13,503,1392.090909090909,352.53719008264466,0,503,16.47470870820238,5.014599074259612,,113.89339732134154,1270,12,0.1446502527422221,12.0,503,3.223820483314057,3.8409875509991034
14,503,703.2616033755274,298.45569620253167,0,503,25.654195934039667,2.800326431091314,,57.21927269145523,390,14,0.448348864418032,13.0,435,-0.0818309679068534,2.7991305459660225
15,503,1957.744047619048,308.875,0,503,0.0,0.0,,0.0,2252,1,,0.0,0,0.0,0.0
16,503,508.2758620689655,327.75172413793103,0,503,20.821432790064037,6.47379086702537,,110.5534712590025,1366,14,0.1883381186763823,15.0,519,1.3618835743418458,-6.328921023359271
17,503,1812.843373493976,324.2831325301205,0,503,19.49688902462059,9.480669553150348,,110.79840214759216,424,17,0.1759672400207469,16.0,505,-1.092324953917796,-9.417532658349558
