ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1232,790.0,1143.3116883116884,0,1232,0.0,0.0,1.0,0.0,1232,1,,0.0,0,0.0,0.0
2,1232,1787.526595744681,1099.2553191489362,0,1232,6.543624627425114,6.543624627425114,2.0,6.543624627425114,1191,2,1.0,1.0,1191,1.7542380211036743,6.304099636741057
3,1232,957.5265017667843,1029.7067137809188,0,1232,3.049166374978454,1.9491796542264688,,4.649980530712265,1147,3,0.65573744983216,2.0,1183,1.9169400137964203,-0.3530471752565063
4,1232,556.8137755102041,988.2270408163264,0,1232,12.414929009993276,5.284398449545191,,13.148951379819591,1095,4,0.9441763568345944,3.0,1179,4.428988038168313,2.8825218006664954
5,1232,643.5497835497836,977.069264069264,0,1232,3.886108954980076,7.474296368957782,,13.737660139446408,1417,3,0.282879974867152,4.0,1233,-0.1518971224853658,-7.472752737458677
6,1232,968.3558106169296,975.2022955523672,0,1232,8.264863725301316,6.756265596321312,,32.27385470598214,1097,6,0.2560854227235948,5.0,1233,-3.789452540965044,-5.593493921316849
7,1232,1935.490861618799,985.9569190600522,0,1232,11.853357419945388,6.48591633666038,,36.982493957756,1096,7,0.3205126575153402,6.0,1237,4.747421385562802,-4.419174234408388
8,1232,1487.6666666666667,1025.125,0,1232,0.5813940811527937,0.4800871229556342,,0.9857051981522847,1655,3,0.5898255200871653,7.0,1278,0.1820512820513613,-0.4442307692306713
9,1232,1016.7134146341464,1001.140243902439,0,1232,8.550556513167116,2.759845121309899,4.0,9.950313668215044,1651,4,0.8593253236308253,8.0,1202,-1.412459491727759,2.3710131332082938
10,1232,593.0148148148148,993.4185185185186,0,1232,10.9515175857105,2.5314810779557986,,25.7036507507502,1115,10,0.4260685648084782,9.0,1223,1.4163018036624635,-2.0982101060167224
11,1232,991.5848214285714,1014.1473214285714,0,1232,4.022766880399061,9.157792100232331,,52.79632120189432,1125,11,0.0761940754359742,10.0,1249,-3.972511904761859,8.251321428571487
12,1232,992.6448598130842,1006.9470404984424,0,1232,4.0517015757091,7.277893022669492,,60.07421422456381,1125,12,0.0674449367005186,11.0,1232,1.0600383845127226,-7.200280930129111
13,1232,1205.209821428571,1014.5669642857144,0,1232,36.24250408203855,20.053500054545925,,62.402944599202456,1124,13,0.580781953717321,12.0,1241,-20.052282077271684,-0.2210156808966985
14,1232,928.1639344262296,979.077049180328,0,1232,34.56220648453475,7.97792017083117,,120.64846057863583,1097,14,0.2864703479743773,13.0,1184,7.623393885688984,2.3518239551026454
15,1232,1763.7937293729374,961.6798679867986,0,1232,5.362096642953121,10.327159777010957,,17.752668790297058,2069,4,0.3020445379955402,14.0,1208,-7.781613092816087,6.789457027894514
16,1232,1712.71,961.325,0,1232,36.43942543358251,6.23799557552855,,93.543691738634,1056,16,0.3895444444869267,15.0,1230,-0.939717514124368,6.166807909604586
17,1232,1392.9807228915663,934.4771084337348,0,1232,13.240699261418378,2.0350835803931293,,24.64486435647449,1933,8,0.537259977165989,16.0,1202,-1.2122031534497637,1.6346647038313904
18,1232,128.91304347826087,908.8,0,1232,6.941993733853966,15.248210676450189,,64.0839102619711,1025,18,0.108326625286683,17.0,1197,-14.472160603371776,4.802551020408146
19,1232,1377.6666666666667,878.0598290598291,0,1232,0.0,0.0,1.0,0.0,2605,1,,0.0,0,0.0,0.0
20,1232,1810.6787148594376,920.714859437751,0,1232,20.42408212857997,10.585350927325218,,150.34885085734967,1063,20,0.1358446174487775,19.0,1269,10.247435238584783,2.653248063343426
21,1232,1571.5117845117843,852.4646464646464,0,1232,86.10948649272828,7.1993420183941135,,199.5798200980748,1030,21,0.4314538736953141,20.0,1165,3.5500707469714143,6.263187941401156
22,1232,1854.09243697479,858.0,0,1232,3.9191820355641616,3.9191820355641616,,3.9191820355641616,2787,2,1.0,21.0,1250,-3.1214358575800816,-2.369942196531838
23,1232,1239.68903803132,810.9351230425056,0,1232,34.88973282513203,2.1953252927529165,,47.64647020251396,2271,9,0.7322626980936596,22.0,1183,1.343147620361151,1.7364929055192988
24,1232,969.1926121372032,815.9076517150396,0,1232,0.0,0.0,,0.0,3035,1,,0.0,0,0.0,0.0
25,1232,966.5378486055776,835.4183266932271,0,1232,1.1733733458405764,1.1733733458405764,,1.1733733458405764,3038,2,1.0,24.0,1247,-0.7345528281141469,-0.9150066401062986
26,1232,1929.563474387528,855.4432071269488,0,1232,16.12807919373053,7.387457676879801,,27.907342936092597,2861,5,0.5779152544426603,25.0,1248,-7.19190195655824,-1.688513303158743
27,1232,701.1489971346705,832.3037249283668,0,1232,9.881826360777188,1.4233642873355727,,14.30166164721061,3037,4,0.6909565199163088,26.0,1216,-1.4121539444662403,-0.1782894601224143
28,1232,1617.451612903226,773.1382488479263,0,1232,54.364503606904336,10.580650494168054,,137.5912063589537,2195,15,0.3951161200307811,27.0,1167,-0.5887458411687021,10.564257816536156
29,1232,1908.554054054054,783.8513513513514,0,1232,27.0269802199752,8.658103731777693,,251.2893671470696,914,29,0.1075532185337447,28.0,1227,-2.6000961435745467,8.258465975857234
30,1232,1322.2390438247012,780.5179282868526,0,1232,8.836207829770164,6.524787681320829,,15.841145775426044,3429,3,0.5578010552416949,29.0,1234,5.769478607309793,-3.0472891044518065
31,1232,1298.6413793103447,775.8689655172413,0,1232,37.18097919165788,29.13468978145,,60.57168901565763,3214,6,0.6138342812604529,30.0,1255,14.92988786780188,-25.018565045105788
32,1232,1756.018018018018,777.4414414414415,0,1232,0.0,0.0,1.0,0.0,3826,1,,0.0,0,0.0,0.0
33,1232,1308.1748768472903,769.807881773399,0,1232,48.210980449214944,11.366149020203476,,75.66349982767153,3214,8,0.6371761887702596,32.0,1221,11.050887628961618,-2.658425504229058
34,1232,622.2341772151899,789.5316455696203,0,1232,34.01576318714119,1.914068992836612,,281.8284684142752,910,34,0.1206966896514497,33.0,1267,-1.913191205862745,0.0579613590939516
35,1232,1855.531313131313,830.1838383838384,0,1232,11.376598724070798,8.980194498566375,,115.70890552932136,2276,21,0.0983208567398288,34.0,1284,5.8848659909317576,-6.78323267335395
36,1232,1301.6111817026683,789.1524777636595,0,1232,31.62924110619788,12.799652020689996,,78.3890007182076,3214,11,0.4034908063173112,35.0,1194,10.025679843932268,-7.9571876638498225
37,1232,1714.5017421602788,812.8675958188153,0,1232,63.46642396452136,1.4339067933088585,,153.55705462248227,2434,21,0.413308422205366,36.0,1264,-0.5888828397212365,-1.3074041811846655
38,1232,1308.83608815427,784.8774104683196,0,1232,40.000912048926665,5.433873439557918,,95.60412533119066,3214,13,0.4184015272390808,37.0,1202,0.5159260468738012,5.409325361936567
39,1232,1713.4368131868132,812.5,0,1232,63.21642155080567,11.017599195380567,,182.60591804406647,2434,23,0.3461904314379903,38.0,1268,10.252720246688114,-4.033512064343199
40,1232,1848.060606060606,825.8484848484849,0,1232,13.23536985045293,4.781760028971169,,149.01197701505006,2276,26,0.0888208459184201,39.0,1242,1.4687233097604349,-4.550613234942375
41,1232,1438.9468267581476,817.6518010291595,0,1232,0.0,0.0,,0.0,4641,1,,0.0,0,0.0,0.0
42,1232,940.5791366906476,828.589928057554,0,1232,38.23180357387596,2.3344692663458635,,57.92453358003264,3998,9,0.6600278191459615,41.0,1233,-0.2580726116781306,2.320160615693453
43,1232,874.7216981132076,831.4481132075472,0,1232,13.022619500322955,9.720108428025814,,48.3865355238496,4192,8,0.2691372581098338,42.0,1230,9.587017978527456,1.602995362429283
44,1232,40.086092715231786,788.0198675496689,0,1232,6.656549740391203,11.566212804276956,,174.84310626102004,929,44,0.0380715595984308,43.0,1160,-7.835812046672977,8.507486597287993
45,1232,747.070707070707,789.6161616161617,0,1232,0.0,0.0,,0.0,4999,1,,0.0,0,0.0,0.0
46,1232,1764.183574879227,780.9951690821256,0,1232,4.057538673096371,6.872144943289698,,78.63750038260008,4633,6,0.0515980118054995,45.0,1216,1.8800034506557493,-6.609989648033093
47,1232,1224.8620689655172,773.6206896551724,0,1232,9.487941767183536,7.127236874495798,,16.333874460485728,4996,3,0.5808751493796769,46.0,1235,-6.490390050876158,-2.9448841153193825
48,1232,896.7525773195877,777.5773195876288,0,1232,14.267177290824016,8.00459255685982,,35.65540337266105,4804,6,0.4001406783063753,47.0,1221,-0.0019681349577922,8.004592314901515
49,1232,1519.8012170385396,758.1683569979716,0,1232,72.9070174716153,17.53993116025677,,308.3481756117718,1847,41,0.2364438100759495,48.0,1201,5.51336346116841,16.65088611610804
50,1232,1419.909090909091,773.4462809917355,0,1232,19.917023098263265,19.917023098263265,,19.917023098263265,5395,2,1.0,49.0,1253,-19.460772104607717,-4.238650515113818
51,1232,1306.494845360825,778.1649484536083,0,1232,0.0,0.0,,0.0,5569,1,,0.0,0,0.0,0.0
52,1232,1546.1948881789135,763.4025559105431,0,1232,169.7290579656179,18.990853068011965,,484.58816154793226,1030,52,0.3502542394421029,51.0,1220,2.0166703571314883,-18.883472692317127
53,1232,1444.13661971831,789.1774647887324,0,1232,26.28193426455799,8.125755605602135,,94.6349309138996,4553,14,0.2777191678669868,52.0,1285,-0.6057272204654964,-8.103147456165516
54,1232,1135.5873015873017,743.3968253968254,0,1232,13.491565062134413,8.456511415904073,,43.72048221344017,5284,7,0.308586831139455,53.0,1178,8.091095214008874,-2.459016788303529
55,1232,1451.8798882681565,722.1103351955308,0,1232,24.485001639142624,9.919841396388383,,379.8091337117572,1847,47,0.0644665951022775,54.0,1208,8.476726212820495,-5.152510654271623
56,1232,152.1978021978022,749.7142857142857,0,1232,61.85783017675213,1.395701608017187,,189.9606509424663,2514,39,0.3256349663461994,55.0,1246,1.354826991190606,-0.3353010625738761
57,1232,1690.953560371517,739.9009287925696,0,1232,12.350356267565475,12.350356267565475,,12.350356267565475,6013,2,1.0,56.0,1221,4.492021909978348,11.504479088427615
58,1232,1989.6208897485492,780.3597678916827,0,1232,8.267432588788798,18.491888370962062,,59.21528619806647,5833,5,0.1396165267383061,57.0,1247,7.267948572078922,17.003730739979915
59,1232,1354.2722419928823,749.8434163701068,0,1232,34.79295679136185,17.445577474674163,,36.76751270958977,6017,4,0.9462961790800468,58.0,1228,-15.390729182283849,-8.21423329729896
60,1232,1433.017857142857,743.5357142857143,0,1232,52.97694782490639,14.993088015771404,,435.7116066098848,1847,52,0.1215871852418643,59.0,1212,6.068908193908101,13.709888459888475
61,1232,970.7777777777778,728.8803418803419,0,1232,77.37602658405729,12.934384051694888,,112.03098659688948,5829,8,0.6906662963031125,60.0,1222,7.232146709816675,-10.723541614803707
62,1232,858.829716193656,752.779632721202,0,1232,31.85233609024245,17.147932583582925,,179.4032572458133,4804,20,0.1775460299842788,61.0,1273,5.494970430944136,-16.243672363543737
63,1232,1862.787330316742,732.0090497737557,0,1232,13.083669680153887,5.510038829547902,,32.13771257332084,6015,8,0.4071126608747914,62.0,1212,-5.3354527664776015,1.376034766934367
64,1232,835.195918367347,738.1102040816327,0,1232,13.9623252639015,4.339385306772152,,22.808938515001294,6367,5,0.6121427025075526,63.0,1245,-0.7452581032413264,4.2749099639855785
65,1232,428.528384279476,688.0043668122271,0,1232,8.854892952971749,13.959879739764103,,19.10372196852254,6627,3,0.4635166365780488,64.0,1150,-2.986321602876956,13.636719753403554
66,1232,1524.624352331606,726.9559585492228,0,1232,59.108578470262586,11.753945543970016,,490.4224341832431,1847,58,0.1205258453739028,65.0,1281,-10.576116601570902,-5.128449422641211
