ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
134,2150,457.2217484008529,1146.313432835821,0,2150,54.24458176353171,8.017945644649025,,81.0204643422411,11892,11,0.6695170436742434,133.0,2099,-0.5993898105292033,-7.995510253609837
135,2150,632.6352583586627,1151.6200607902736,0,2150,17.190080915120912,2.8129085985807487,,18.73063418677024,12441,5,0.9177522097603376,134.0,2146,-0.8631543397500536,2.67720364741649
137,2150,250.3063909774436,1139.484022556391,0,2150,94.45378932292964,4.108993491198344,,148.5900912170484,11623,17,0.6356668102784806,136.0,2109,1.797336651487882,-3.695051890289051
138,2150,553.9655172413793,1120.3310344827587,0,2150,20.60329621667055,8.093111614915692,,21.02973174408746,12847,3,0.979722255490168,137.0,2137,-7.550206029060973,-2.9142485361091985
139,2150,652.6909090909091,1123.9212121212122,0,2150,43.16802358788839,11.646612203299016,,63.018008529895845,12534,8,0.6850109134662579,138.0,2169,9.921678321678428,-6.099497937959313
140,2150,1566.7857142857142,1066.6157142857144,0,2150,103.0888676600722,7.867711509127453,,481.1435939727353,7150,72,0.214258007279868,139.0,2066,-5.30608899297431,5.809156908665273
141,2150,1930.2105263157891,1046.53216374269,0,2150,25.330998460023647,3.034776299475874,,530.9969970620142,6561,80,0.0477045983314012,140.0,2127,2.7392934390770733,-1.306192421693595
142,2150,122.472,1036.136,0,2150,93.0595667672107,6.232755231403571,,554.4570402642255,5417,94,0.1678390930393152,141.0,2136,3.5903431952662714,-5.094769230769316
143,2150,1946.909090909091,1048.6736596736596,0,2150,24.36914618998192,31.164158046064767,,496.5775780719058,6561,82,0.0490741975999029,142.0,2148,-27.54408634843412,14.57834194790712
144,2150,182.75155279503105,1002.3105590062112,0,2150,159.33868923633355,4.352698317691951,,584.2415699777454,5417,96,0.2727274083602147,143.0,2080,3.573124033379912,-2.485712631605111
145,2150,1283.325,1036.128125,0,2150,80.54305392477194,12.290629106900118,19.0,168.35945377223308,12131,19,0.4783993540020359,144.0,2191,-9.934803921568571,7.235968137254758
