ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1040,1636.0941176470587,920.1529411764706,0,1040,0.0,0.0,1.0,0.0,1040,1,,0.0,0,0.0,0.0
2,1040,1606.7363636363636,876.1,0,1040,16.5633243500303,16.5633243500303,,16.5633243500303,991,2,1.0,1.0,991,1.3032650448144525,16.511971830985885
3,1040,138.18269230769232,823.5673076923077,0,1040,0.0,0.0,1.0,0.0,1405,1,,0.0,0,0.0,0.0
4,1040,635.564681724846,785.6488706365503,0,1040,12.314063316974243,5.6313879911705245,,24.16136256720799,936,4,0.5096593076123529,3.0,1003,2.221357474164733,5.174756195133455
5,1040,879.1089108910891,776.7623762376238,0,1040,29.001887202495823,5.444794667961062,,35.3840242571239,960,5,0.8196322439683171,4.0,1038,-0.419178996551409,-5.42863499833129
6,1040,233.37342657342657,796.565034965035,0,1040,10.187817465921592,5.317104696608254,,38.94794373855841,947,6,0.2615752331960895,5.0,1064,-0.5750829116682894,-5.285913544450068
7,1040,647.5694444444445,785.8888888888889,0,1040,13.594149840022997,3.5836906546130254,,35.54610036926639,910,7,0.3824371646622782,6.0,1042,-1.9276819923371704,3.021072796934845
8,1040,545.1597222222222,828.9375,0,1040,5.20863383973435,5.766039301359761,,8.090055933400093,1636,3,0.6438316227493946,7.0,1080,-1.2723335269067777,5.623911149825744
9,1040,663.7493472584856,798.3890339425587,0,1040,23.871679358018845,1.4221222921042995,,47.17758996606127,936,9,0.505996159939321,8.0,1015,0.8862665738890882,-1.1121885513288134
10,1040,245.3464566929134,791.3385826771654,0,1040,10.437255381972683,19.9711347628853,,71.78065667359962,947,10,0.1454048467323569,9.0,1031,19.19531797655728,-5.512348999853202
11,1040,1107.1456310679612,801.0145631067961,0,1040,11.09936261358392,6.890701901421739,,84.1446968778356,953,11,0.1319080467982241,10.0,1054,-1.4784988624332982,-6.730216475570501
12,1040,1260.2912087912089,810.8186813186813,0,1040,21.404315520882054,3.6674784608963993,,71.90173216204565,941,12,0.2976884544678693,11.0,1060,-3.61430301981477,-0.6222635632084348
13,1040,325.51807228915663,818.9397590361446,0,1040,35.61831689637344,22.988594168593725,,109.50833585185435,1407,11,0.3252566721912275,12.0,1061,-16.983567055105652,-15.493027849101397
14,1040,1184.82156133829,760.9293680297397,0,1040,8.611735044526132,8.611735044526132,,8.611735044526132,2135,2,1.0,13.0,981,-5.576743746455804,-6.562157393989082
15,1040,1187.5304347826086,761.991304347826,0,1040,6.202992177464477,2.9095883009466377,,11.52132334547277,2135,3,0.5383923349310306,14.0,1040,2.708873444318669,1.061936318086282
16,1040,1851.2222222222224,777.6342592592592,0,1040,52.6205039809035,10.6587671643213,,89.72490999859725,1563,12,0.5864648287942129,15.0,1052,10.654770402093618,-0.2918649377429574
17,1040,178.03481012658227,741.993670886076,0,1040,15.285485083025186,4.510696197282455,,34.75609868089916,1998,7,0.4397928899720152,16.0,1004,-4.092895501123365,-1.895939503534464
18,1040,1821.6694214876036,731.0,0,1040,56.154923890003445,10.29430329403018,,160.9199563799232,875,18,0.3489618388748798,17.0,1029,5.054225409171977,-8.96813725490199
19,1040,155.64835164835165,707.0769230769231,0,1040,12.043139011580251,12.043139011580251,2.0,12.043139011580251,2507,2,1.0,18.0,1018,-11.84679398271632,-2.165795369678904
20,1040,1633.4835164835165,722.6373626373627,0,1040,14.84572020663309,8.095937384314269,,57.92144890938939,2196,7,0.2563078183672044,19.0,1073,-7.802647038496161,2.1593752159790256
21,1040,1624.5194805194806,689.5627705627705,0,1040,26.189982628726156,8.29816225009762,,75.59308154337512,2196,8,0.3464600475864766,20.0,994,2.502239140170332,7.911908493805072
