ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,84,525.452380952381,60.63690476190476,0,84,0.0,0.0,1.0,0.0,84,1,,0.0,0,0.0,0.0
2,84,1827.3467933491688,48.49406175771971,0,84,12.153399794011577,12.153399794011577,,12.153399794011577,73,2,1.0,1.0,73,11.80788284333198,2.877330240209986
3,84,1549.390977443609,58.037593984962406,0,84,0.0,0.0,,0.0,1348,1,,0.0,0,0.0,0.0
4,84,502.280303030303,46.08712121212121,0,84,3.42509191257182,6.9440467333314135,,14.405116523023032,72,4,0.2377691223182855,3.0,63,-4.459696969697006,5.322676767676768
5,84,477.0958702064897,44.67699115044248,0,84,3.1676010071004272,4.1784269822166245,,11.87227682050545,81,5,0.2668065321412856,4.0,99,0.4947386647640996,-4.149034309246353
6,84,1214.4686468646864,53.46864686468647,0,84,25.189221849069742,12.690195824096442,,33.17862349347037,102,6,0.7592003283085883,5.0,103,8.56748407398868,-9.361585693453064
7,84,459.4929577464789,53.89671361502347,0,84,28.097404675097767,2.935532186574166,,35.64901316599027,122,7,0.7881678111051652,6.0,82,-2.709388294576854,1.1298514449354968
8,84,418.8778625954199,51.25954198473283,0,84,10.23734020404133,10.23734020404133,,10.23734020404133,1678,2,1.0,7.0,93,-6.949548572092851,-7.517107761460068
9,84,2000.1101694915253,50.71186440677966,0,84,29.112943787626214,19.22423146715216,,92.47161398311016,29,9,0.3148311415105577,8.0,132,-2.324613117170429,-19.08316664912096
10,84,941.1410256410256,54.57051282051282,0,84,5.171844923277871,12.815601856782964,,54.24039061406367,94,10,0.0953504365423374,9.0,91,-12.527870680044543,-2.700390189520625
11,84,482.38461538461536,64.21153846153847,0,84,27.9350346337651,19.834158978969548,,58.62586597483928,72,11,0.4764967505256826,10.0,72,-17.654286217215315,9.039913747579654
12,84,612.0805369127517,52.07046979865772,0,84,3.0490617727264957,1.6196484196332126,,60.50526361764157,74,12,0.050393330933897,11.0,76,1.1626625166163649,-1.127597834192521
13,84,1272.0845588235295,53.83455882352941,0,84,9.0236569732462,16.796503137349752,,85.8680732304964,79,13,0.105087451409605,12.0,109,-10.704031780497417,-12.943964666403469
