ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,321,1644.818858560794,209.92555831265508,0,321,0.0,0.0,,0.0,321,1,,0.0,0,0.0,0.0
2,321,1766.6043956043957,200.3066933066933,0,321,3.0163598756247314,3.0163598756247314,,3.0163598756247314,311,2,1.0,1.0,311,-1.4831414875925475,-2.626541114671653
3,321,1978.1011904761904,203.906746031746,0,321,9.887303190649874,2.667551596533381,,9.992944528292233,307,3,0.9894284074785702,2.0,319,-2.298809523809723,1.3532576596529964
4,321,1000.8222222222222,190.57777777777775,0,321,1.5463132438491545,5.5563392351023335,,12.209176510314643,287,4,0.1266517231971203,3.0,298,3.667505241090112,4.1740041928721325
5,321,1180.7934782608695,196.1195652173913,0,321,14.341279833216715,4.455299502370558,,17.23325098981517,294,5,0.8321865585136777,4.0,329,3.6968015237093823,2.486634703796142
6,321,309.59420289855075,188.8695652173913,0,321,0.0,0.0,,0.0,1596,1,,0.0,0,0.0,0.0
7,321,1306.3466135458168,195.06573705179284,0,321,37.31685496656954,5.093685345187356,,55.47424150164571,334,7,0.6726879711453556,6.0,354,-4.333798825317217,-2.6765309894442737
8,321,1978.738738738739,216.8783783783784,0,321,18.103051077325706,4.9166609471751,,44.30762665439765,307,8,0.408576410976166,7.0,375,3.8112775988422527,-3.106077580170848
9,321,597.9782608695652,211.18840579710144,0,321,18.494195206451163,2.5931713527136937,,51.06134465693355,317,9,0.362195616482651,8.0,319,2.584759064511104,-0.2087061162559678
10,321,191.1757575757576,205.84545454545452,0,321,35.87188089357699,6.882918598782831,,73.20158636561533,280,10,0.4900423976388979,9.0,301,0.5465440926115264,6.861184882533195
11,321,170.64878048780488,201.0682926829268,0,321,8.162214057175774,8.744309540104735,,57.98278671371168,303,11,0.1407696062880949,10.0,306,7.813600432403234,3.925633403148424
12,321,308.74468085106383,204.3404255319149,0,321,28.323598723792543,8.065655913385346,,57.824117742976426,288,12,0.4898232749471193,11.0,338,-4.525654077165825,-6.676320879568351
13,321,33.27927927927928,198.3783783783784,0,321,23.019431790417304,8.366358313543678,,72.7419780058344,308,13,0.3164532010467324,12.0,319,0.2960860019683551,-8.361117419940939
14,321,1355.9017341040462,175.97109826589596,0,321,91.47597191679168,5.299447346868253,,118.49607268896447,141,14,0.7719747147815037,13.0,283,4.312610236976752,3.0798595952011
15,321,163.9004524886878,190.77828054298644,0,321,16.958684696543642,0.7976119648491653,,72.66102700094724,303,15,0.2333945086727519,14.0,329,-0.0783610706342301,-0.7937533553186427
16,321,1620.1497005988024,204.19161676646704,0,321,23.975801718809063,7.616662899909683,,48.59289545895891,1749,9,0.4934013808470993,15.0,350,4.419161676646581,-6.203592814371262
17,321,169.525,201.8428571428572,0,321,9.444779933100282,1.142441020473616,,85.09385836208693,303,17,0.1109924983412004,16.0,317,0.325000000000017,1.095238095238102
18,321,952.8603896103896,193.88636363636363,0,321,31.12323747466449,6.414653141487602,,36.64981698927895,2170,5,0.8492058086884546,17.0,322,5.973791672245284,-2.3370040612308856
19,321,1360.5274725274726,180.05494505494505,0,321,32.34394291800271,20.53533669830053,19.0,132.58045362767135,306,19,0.2439570995045387,18.0,340,-0.0217166617167094,-20.53532521532523
20,321,1752.998947368421,188.35894736842104,0,321,19.00926049602874,2.700991652532429,,171.4457061342376,312,20,0.1108762705386449,19.0,336,1.2838738390094022,-2.3763467492260304
21,321,1824.801948051948,177.55194805194805,0,321,40.89109059140815,3.5034480356640265,,190.48499754301557,325,21,0.2146682999650619,20.0,297,1.5407796670683638,3.146449770161098
22,321,1824.049723756906,177.84530386740332,0,321,41.14021127569095,0.8074026408879371,,191.29240018390348,325,22,0.2150645359467486,21.0,321,-0.7522242950419695,0.2933558154552713
23,321,1848.8877551020407,166.66326530612244,0,321,36.04292917448431,2.5887628532632703,,139.37397714478945,299,23,0.2586058740150674,22.0,300,2.39630211058784,0.979504622361759
24,321,1184.78391959799,174.56281407035175,0,321,42.688427463571074,8.498134750546685,,84.67395555204766,2237,10,0.5041506232377583,23.0,331,1.25952935408759,8.404277484985897
25,321,744.0206896551724,177.05517241379312,0,321,30.64850556932174,8.873210201874151,,161.838314822541,310,25,0.1893773152725202,24.0,340,5.310307141511203,-7.108762012436387
26,321,1827.907284768212,170.3708609271523,0,321,70.26409790076146,2.4423957733574486,,124.82703613351056,2098,14,0.5628916625530505,25.0,280,2.387474942538347,-0.5150344769681396
27,321,996.9245283018868,164.83018867924528,0,321,44.266019968379815,6.935984241930381,,183.92513691231704,290,27,0.2406741172604527,26.0,318,6.882511495164067,0.859600443951166
28,321,1367.52466367713,167.7443946188341,0,321,20.70412392791501,2.931459230823094,,139.93721601689626,1966,18,0.1479529500244963,27.0,323,-1.3430782583536711,2.6056849414147507
