ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,152,1367.1743119266057,98.96330275229356,0,152,0.0,0.0,1.0,0.0,152,1,,0.0,0,0.0,0.0
2,152,1307.2720207253883,91.66062176165804,0,152,7.059150753820011,7.059150753820011,,7.059150753820011,151,2,1.0,1.0,151,1.3654786693136884,-6.925826836472808
3,152,729.0603290676416,99.6837294332724,0,152,5.8223445682366055,6.222423259919555,,7.546626339518591,150,3,0.7715162121844263,2.0,157,-2.006854394890638,-5.889913977580321
4,152,1306.7179487179487,91.1880341880342,0,152,7.442776132227751,3.8373057896205984,,14.174440249819892,151,4,0.5250843067557692,3.0,140,-3.82669413919416,-0.2851800976800973
5,152,11.836283185840708,90.47787610619469,0,152,17.624590436388782,3.3669910636251124,,33.56485518506757,153,5,0.5250906145494011,4.0,159,0.4415463437354443,-3.33791336748952
6,152,1395.4791666666667,80.88541666666667,0,152,15.591404485298549,17.24664322161238,,48.902659703590594,129,6,0.318825286391402,5.0,157,-5.34040519877658,-16.398987003058096
7,152,1149.6175213675217,79.56837606837607,0,152,32.98098866613426,6.648239924810472,,51.72346918144588,86,7,0.6376406917029672,6.0,134,2.0828953287402783,6.313528422946703
8,152,14.30379746835443,96.25316455696202,0,152,12.371808872687064,3.9902449416075,,35.65753685201055,153,8,0.3469619599366544,7.0,173,-3.20684082951791,-2.374495017506064
9,152,583.6346863468634,107.55166051660515,0,152,4.3755190254324505,9.4389661708872,,74.5749325997236,138,9,0.05867278551786,8.0,163,1.2890772817075913,9.35052737212925
10,152,432.33952702702703,104.35135135135135,0,152,3.943129770139637,3.943129770139637,,3.943129770139637,1808,2,1.0,9.0,157,3.9177583195440207,0.4465894465894564
11,152,241.96010638297872,96.53191489361704,0,152,16.98351878446986,10.339942523082293,5.0,17.351252017294584,1679,5,0.9788065303611412,10.0,138,-3.999770160231151,9.535001313370117
12,152,2004.7235079171744,91.3252131546894,0,152,2.740552729492789,10.78648809782854,,107.77032917268647,135,12,0.025429566287224,11.0,161,10.723507917174176,-1.1639172800932016
