ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1172,1832.9272727272728,1075.6060606060605,0,1172,0.0,0.0,,0.0,1172,1,,0.0,0,0.0,0.0
2,1172,1083.8919860627177,1019.383275261324,0,1172,12.80733543764284,12.80733543764284,,12.80733543764284,1131,2,1.0,1.0,1131,-12.80732269304258,0.0180678880520872
3,1172,1307.376712328767,974.6643835616438,0,1172,13.30773748014079,5.647456839380847,,15.920329377514008,1089,3,0.8358958639974332,2.0,1135,3.0678014376780998,-4.741557032415585
4,1172,1079.4873015873015,915.0666666666668,0,1172,6.427362166921435,3.885847029158188,,10.410762697124104,1032,4,0.6173766854465857,3.0,1115,-2.9670309653915865,2.509289617486388
5,1172,1370.239467849224,915.9578713968958,0,1172,8.081022123830369,3.284437213825444,,21.23130851979004,1043,5,0.3806181854640716,4.0,1171,-2.171128177266155,2.464493913452088
6,1172,1605.8906976744186,926.2558139534884,0,1172,27.386804336160623,4.470833233651101,,37.53503619291325,1060,6,0.7296330872149618,5.0,1184,-4.379957596236636,0.8968395945140628
7,1172,1368.0461165048544,919.4490291262136,0,1172,4.962250190269744,2.480278265051586,,28.622345595776306,1043,7,0.1733697950667609,6.0,1164,2.1600949994779057,1.2189215993319067
8,1172,800.4121405750799,962.6773162939296,0,1172,15.692344971246303,13.32378539580033,,62.61592664991871,1079,8,0.2506126765316612,7.0,1218,-13.249587819981798,-1.4041651875517118
9,1172,1275.8275862068965,937.0689655172414,0,1172,0.0,0.0,1.0,0.0,1860,1,,0.0,0,0.0,0.0
10,1172,1801.6530612244896,916.7877551020408,0,1172,29.088094030990145,11.610579218176182,,74.58180076886588,1063,10,0.3900159788463159,9.0,1166,-5.205849666599306,-10.378086482117624
11,1172,506.31111111111113,950.0444444444444,0,1172,26.351110359778737,8.024037549208847,11.0,77.3925211948204,1047,11,0.3404865218623,10.0,1196,-2.7201388888888687,7.548908730158814
12,1172,1825.1155378486053,944.4741035856574,0,1172,43.46743558799995,9.932447954454782,,115.73116958941388,1092,12,0.3755897027759407,11.0,1164,9.801779459343834,1.6058149950533789
13,1172,511.5327868852459,967.672131147541,0,1172,6.010597921863055,9.986123457523354,,20.51531007002312,2007,3,0.2929810907730668,12.0,1200,-9.94066444218771,-0.951762657768768
14,1172,1841.3553719008264,897.5537190082645,0,1172,45.036235388171896,21.573603081399582,,104.42980941433528,1063,14,0.4312584274618976,13.0,1140,15.211042003919149,-15.298514668711505
15,1172,1554.6602451838878,872.591068301226,0,1172,52.42748757172186,11.82702666465698,,123.22562878391474,1046,15,0.4254592822054683,14.0,1147,11.826098842424472,0.148141471957615
16,1172,611.1875,905.0913461538462,0,1172,6.997957389653013,15.9753811774548,,61.333497729081785,1642,11,0.1140968255318475,15.0,1189,14.689279359430657,6.279958253490349
17,1172,392.25,872.6967213114754,0,1172,33.58232145993638,8.493549598607661,,120.35736512129468,1019,17,0.2790217401826014,16.0,1145,-1.3313953488371908,-8.38855000635408
18,1172,1420.2922077922078,860.5324675324675,0,1172,6.7173956746815335,1.003297630113641,,29.96877706923778,1924,9,0.2241464728160955,17.0,1159,0.3860293025052215,0.9260602098130448
19,1172,256.9886363636364,814.3181818181819,0,1172,12.160475998399646,3.4396414977961234,,136.35132571234095,976,19,0.0891848754302138,18.0,1127,3.2592245989305013,1.0993582887700768
20,1172,416.39762611275967,859.2462908011869,0,1172,13.764147525301771,3.1649314500410166,,14.465704786747352,2435,4,0.9515020338249742,19.0,1216,-2.4078346380935614,-2.0540504957414214
21,1172,1886.175675675676,784.9797297297297,0,1172,7.109526663811493,10.672055354885972,,194.6204884558249,914,21,0.0365302066612848,20.0,1131,6.00713634983299,-8.820832068023151
22,1172,1610.6935483870968,791.9193548387096,0,1172,0.0,0.0,,0.0,2858,1,,0.0,0,0.0,0.0
23,1172,173.27053140096618,743.5748792270531,0,1172,5.750206492565852,2.8823095712654503,,11.055074908571491,2772,3,0.5201417937120861,22.0,1120,1.565217391304344,-2.4202898550724967
24,1172,1895.9809160305344,751.5076335877862,0,1172,31.13861172424425,8.534966426994819,,208.6975518928696,914,24,0.1492044896637244,23.0,1168,-3.6857506361322976,7.698109778262392
25,1172,57.60989010989011,760.6593406593406,0,1172,125.98531143019454,10.960980038927682,,239.42687528116235,793,25,0.5261953624974148,24.0,1184,-1.4165999563350553,10.86905368362318
26,1172,1221.8050314465409,784.2641509433962,0,1172,7.802207188165041,3.901409000653944,,41.372118820236594,2271,12,0.1885861157381357,25.0,1194,3.897339138848565,-0.1781567489115332
27,1172,1605.5604395604396,766.7728937728938,0,1172,49.335564991925416,14.68270629008002,,134.92111065411933,2195,14,0.3656623100175994,26.0,1156,-10.189119522452756,10.57183557183555
28,1172,1102.986187845304,732.9502762430939,0,1172,5.905068776971687,5.905068776971687,,5.905068776971687,3312,2,1.0,27.0,1117,-4.633812154695988,3.660276243093904
